Identifiant,Nom,Description,Tag 1,Tag 2,Tag 3,Longitude,Latitude,N° et nom de rue,CP,Ville,Année de création,Url site web,Email,Nom compte Twitter,Url page Facebook,Url page Google +,Url page Linkedin,Url page Viadeo,Catégorie
citizen-box,Citizen Box,"Citizen Box est un espace de coworking propulsé par Paris Mix, grappe d'entreprises Musique et Innovation, ouvert aux travailleurs indépendants soucieux de développer leurs projets et parcours professionnels.",,,,2.35271,48.897072,146 rue des Poissonniers,75018,Paris,2013,http://www.citizenbox.fr,,,,,,,Tiers-lieu
citizen-place,Citizen Place,Citizen Place est une plateforme d'applications web conçues et développées pour les organisations à but non lucratif pour faciliter leur gestion interne et leur communication.,,,,2.2442,48.843029,73 rue du Château,92100,Boulogne Billancourt,2009,http://www.citizenplace.com,,citizenplace,,,http://www.linkedin.com/company/1263890,,Entreprise
citizenside,Citizenside,Citizenside est une plateforme communautaire qui rassemble des reporters amateurs et/ou indépendants afin de partager des photos / vidéos d'actualité.,,,,2.34283,48.884319,19  place Saint Pierre,75018,Paris,2006,http://www.citizenside.com,,citizensideFR,https://www.facebook.com/citizenside.fr,https://plus.google.com/u/0/+citizenside/,http://www.linkedin.com/company/863098,,Entreprise
citrix,Citrix,"Citrix propose des produits de collaboration, de virtualisation et de mise en réseau pour faciliter le travail mobile et l’adoption des services cloud.",,,,2.24318,48.89056,102 esplanade du Général De Gaulle,92400,Courbevoie,1989,http://www.citrix.com,,citrix,https://www.facebook.com/Citrix,https://plus.google.com/+citrix,http://www.linkedin.com/company/2641,,Entreprise
citypassenger,CityPassenger,CityPassenger propose avec Mobile-IT Networks une gamme de solutions réseaux tout-en-un.,,,,2.199608,48.68383,1 avenue de l'Atlantique,91940,Les Ulis,2001,http://www.citypassenger.com,,CityPassenger,,,http://www.linkedin.com/company/113514,,Entreprise
cityzen-mobility,Cityzen Mobility,"Cityzen Mobility propose CityzenCab, une plateforme de ""taxi partagé"" qui permet de trouver la meilleure offre de taxi au meilleur prix, en moyenne 2 fois moins cher qu'un taxi.",,,,2.35278,48.893959,110 rue des Poissonniers,75018,Paris,2011,http://www.cityzencab.com,,cityzencab,https://www.facebook.com/CityzenCab,,,,Entreprise
cityzencar,CityzenCar,CityzenCar est un service en ligne d'autopartage pour la location de voitures entre particuliers.,,,,2.436492,48.86363,104 avenue de la Résistance,93100,Montreuil,2011,http://fr.cityzencar.com,,CityzenCar,https://www.facebook.com/cityzencar,,http://www.linkedin.com/company/1671887,,Entreprise
cityzeum,Cityzeum,"Cityzeum est une plateforme d’info-médiation touristique qui fournit des guides gratuits, des conseils et réservations d'hôtels, un comparateur de voyages et la présentation des destinations.",,,,2.31465,48.884251,24 rue Claude Pouillet,75017,Paris,2006,http://www.cityzeum.com,,cityzeum,https://www.facebook.com/cityzeum,,,,Entreprise
civiliz,Civiliz,Civiliz est une application mobile pour commenter tous les lieux de la vie quotidienne : ceux qu'on voudrait améliorer ou ceux que l'on aime et qu'on a envie de faire connaître.,,,,2.242993,48.88051,105 rue Voltaire,92800,Puteaux,2010,http://www.civiliz.fr,,Civiliz,https://www.facebook.com/civiliz,,http://www.linkedin.com/company/1430534,,Entreprise
ckab,CKAB,"Pionnier de l'impression 3D individuelle, CKAB est le partenaire européen de MakerBot depuis 2009. Nous distribuons également du matériel Open-Source-Hardware et vous accompagnons dans la conception et réalisation d'Objets intelligents et connectés.",,,,2.341238171000441,48.870795932000476,19 galerie Feydeau,75002,Paris,2011,http://www.ckab.com,romain.pouzol@ckab.com,CKAB,https://www.facebook.com/ckab.hd,,http://www.linkedin.com/company/ckab,,Entreprise
cleantech-business-angels,Cleantech Business Angels,Cleantech Business Angels est une association dont la mission est de faciliter l’investissement dans les startups cleantech et greentech.,,,,2.25095,48.887192,8 terrasse Bellini,92800,Puteaux,2008,http://www.cleantechbusinessangels.com,,CleantechBA,,,http://www.linkedin.com/company/285538,,Investisseur
cleeng,Cleeng,Cleeng fournit des solutions de diffusion de contenus digitaux pour tous les supports.,,,,2.22108,48.84193,1 rue Royale,92210,Saint-Cloud,2011,http://www.cleeng.com,,cleeng,https://www.facebook.com/cleeng,,http://www.linkedin.com/company/1453976,,Entreprise
cloudscreener,CloudScreener,"CloudScreener compare les offres cloud sur plus de 120 critères (prix, performances, sécurité) et permet enfin aux entreprises de trouver le meilleur fournisseur cloud pour leurs besoins.",,,,2.3394015390004483,48.86763193900049,12 rue Vivienne,75002,Paris,2012,http://www.cloudscreener.com,anthony@cloudscreener.com,cloudscreener,https://www.facebook.com/Cloudscreener,https://plus.google.com/112921637971961449454/posts,http://www.linkedin.com/company/2842333,,Entreprise
cloudwatt,Cloudwatt,Cloudwatt a pour objectif de mettre la puissance du numérique à la disposition de toutes les entreprises en leur fournissant une infrastructure compétitive de cloud computing.,,,,2.2442,48.83469,117 avenue Victor Hugo,92100,Boulogne Billancourt,2012,http://www.cloudwatt.com,pierre.paperon@cloudwatt.com,cloudwatt,https://www.facebook.com/Cloudwatt,,http://www.linkedin.com/company/2770068,,Entreprise
cnil,CNIL,La Commission Nationale de l’Informatique et des Libertés est chargée de veiller à ce que l’informatique soit au service du citoyen et qu’elle ne porte atteinte aux libertés individuelles ou publiques.,,,,2.33921,48.867359,8 rue Vivienne,75002,Paris,1978,http://www.cnil.fr,,CNIL,https://www.facebook.com/CNIL,https://plus.google.com/+cnil,http://www.linkedin.com/company/1213297,,Acteur public
codasystem,Codasystem,"Codasystem propose Shoot&Proof, un outil intégré de gestion de photos qui permet de les horodater, les géolocaliser, les indexer, les stocker, les certifier et les partager.",,,,2.229,48.833149,79 rue de Sèvres,92100,Boulogne Billancourt,2001,http://www.codasystem.com,,,http://www.facebook.com/pages/Codasystem/48769356863,,http://www.linkedin.com/company/141628,,Entreprise
coffeepoke,CoffeePoke,"CoffeePoke est une application de réseau social d'entreprise qui permet à chaque collaborateur de poster des messages, de partager liens, documents, photos et vidéos, voire de commenter ou « liker » les contributions de ses collègues.",,,,2.3418,48.861561,108 rue Saint Honoré,75001,Paris,2012,http://www.coffeepoke.com,,coffeepoke,https://www.facebook.com/enlightncoffeepoke,,http://www.linkedin.com/company/coffeepoke,http://fr.viadeo.com/fr/company/coffeepoke,Entreprise
commerce-guys,Commerce Guys,Commerce Guys propose des solutions pour le ecommerce basées sur Drupal.,,,,2.34659,48.870628,38 rue du Sentier,75002,Paris,2008,http://www.commerceguys.com,,CommerceGuys,https://www.facebook.com/commerceguys,,http://www.linkedin.com/company/658359,,Entreprise
commonecoute,CommOnEcoute,CommOnEcoute est une salle de concert interactive en ligne.,,,,2.40352,48.854858,80 rue des Haies,75020,Paris,2011,http://www.commonecoute.com,,commonecoute,,,http://www.linkedin.com/company/2797492,,Entreprise
communication-digitale,Communication Digitale,"Communication Digitale conseille et accompagne le développement des entreprises (startup, TPE ou PME) des agences ou des professionnels.",,,,2.43744,48.8564,5 rue Marcelin Berthelot,93100,Montreuil,1995,http://www.fondation-communication.com,,reseau_france,https://www.facebook.com/france.miremont,https://plus.google.com/110486748496810380827,http://www.linkedin.com/in/francemiremont,,Prestataire
community-space,Community Space,Community Space est dédié aux entrepreneurs de l'économie numérique et regroupe des personnes ayant choisi de mutualiser un lieu de travail.,,,,2.36797,48.86031,70 rue Amelot,75011,Paris,,http://wiki.coworking.com/w/page/23035552/CommunitySpace,,Community_Space,,,http://www.linkedin.com/groups/Community-Space-2757910,,Tiers-lieu
connectedspot,ConnectedSpot,"ConnectedSpot propose French Connection, une solution de Wifi On The Go reposant sur la location de hotspots mobiles.",,,,2.34846,48.866959,81 rue Réaumur,75002,Paris,,http://www.frenchconnection.fr,,,,,,,Entreprise
connecthings,Connecthings,Connecthings fournit une solution complète pour créer des services mobiles sans contact.,,,,2.34918,48.875641,54  rue de Paradis,75010,Paris,2007,http://www.connecthings.com,,Connecthings,https://www.facebook.com/pages/Connecthings/130198270328924,,http://www.linkedin.com/company/532729,,Entreprise
cookening,Cookening,Cookening est une plateforme communautaire qui permet de partager des repas cuisinés à la maison.,,,,2.34928,48.868523,109 rue d'Aboukir,75002,Paris,2012,http://www.cookening.com,,cookening,https://www.facebook.com/cookening,https://plus.google.com/103305946167146182608,http://www.linkedin.com/company/2803827,,Entreprise
core-techs,Core-Techs,"Core-Techs est spécialisée dans les technologies Open Source : elle propose des services de développement / intégration, et édite notamment Quotero, une solution de gestion documentaire.",,,,2.39353,48.888908,218 avenue Jean Jaurès,75019,Paris,,http://www.core-techs.fr,,core_techs,https://www.facebook.com/pages/Core-Techs/321845547937,,,,Entreprise
corporama,Corporama,Corporama propose des solutions de veille et de prospection pour l'intelligence commerciale et édite corporama.com une plateforme de diffusion d'informations sur les entreprises.,,,,2.39198,48.865749,14 rue du Soleillet,75020,Paris,2010,http://www.corporama.com,,corporama,https://www.facebook.com/servicescorporama,,http://www.linkedin.com/company/corporama,,Entreprise
cosmonautica,Cosmonautica,"Cosmonautica est un atelier d'impression 3D qui propose des solutions de scanning, de modélisation et de matérialisation d'objets en 3 dimensions.",,,,2.35198,48.863979,8 rue du Bourg l'Abbé,75003,Paris,2011,http://www.cosmonautica.com,,,,,,,Entreprise
creads,Creads,"Creads est une agence participative spécialisée dans la création de noms, logos, webdesign, print qui s'appuie sur le talent des membres de sa plateforme communautaire.",,,,2.34602,48.867641,112 rue reaumur,75002,Paris,2008,http://www.creads.org,,creads,https://www.facebook.com/creads,https://plus.google.com/+creads,http://www.linkedin.com/company/336973,,Prestataire
creaktif,Creaktif,"Creaktif est un studio de création numérique, spécialisé dans la création de sites web, d'applications mobile et tablette, applications facebook, serious game, motions, et d'installations interactive.",,,,2.351414,48.8679,3 rue d'Alexandrie,75002,Paris,2010,http://www.creaktif.com,,creaktif,https://www.facebook.com/creaktifagency,,http://www.linkedin.com/company/creaktif,,Prestataire
creatis,Creatis,"Creatis, résidence d’entrepreneurs culturels, hébergée à la Gaîté Lyrique est une plateforme consacrée à l’entrepreneuriat et à l’innovation dans les champs culturels.",,,,2.35385,48.866852,3 rue Papin,75003,Paris,,http://www.residencecreatis.fr,,,,,,,Incubateur
creative-valley,Creative Valley,"En partenariat avec Epitech, Creative Valley est un incubateur de startups et une résidence pour les entreprises établies et spécialisées dans les technologies de l'information et de la communication.",,,,2.36479,48.80925,11 rue Carnot,94270,Le Kremlin Bicêtre,2011,http://www.creative-valley.fr,,CreativeValley_,https://www.facebook.com/incubateur.creative.valley,,,,Incubateur
cristaldata,Cristaldata,"Cristaldata est une société de produits et de services informatiques spécialisée dans le conseil, le développement et l'intégration de solutions logicielles avec une forte expérience dans le domaine de la santé.",,,,2.06706,48.694481,102 route de limours,78470,Saint Rémy-lès-Chevreuse,2004,http://www.cristaldata.fr,,TwittCristal,,,http://www.linkedin.com/company/1099307,,Entreprise
criteo,Criteo,Criteo fournit des solutions pour améliorer la performance de l'affichage publicitaire.,,,,2.33149,48.878891,32 rue Blanche,75009,Paris,2005,http://www.criteo.com,,criteo,https://www.facebook.com/GoCriteo,,http://www.linkedin.com/company/37209,,Entreprise
cup-of-teach,Cup of Teach,Cup of Teach est une université communautaire qui propose des ateliers collectifs uniques et originaux entre particuliers.,,,,2.224425,48.84001,55 quai Alphonse le Gallo,92100,Boulogne Billancourt,2012,http://www.cupofteach.com,,cupofteach,https://www.facebook.com/cupofteach,,http://www.linkedin.com/company/2597764,,Entreprise
curioos,Curioos,"Curioos est une galerie d'art en ligne, une place de marché pour graphistes et illustrateurs.",,,,2.39637,48.857441,17 cité Aubry,75020,Paris,2011,http://www.curioos.com,,curioos,https://www.facebook.com/curioos.arts,,http://www.linkedin.com/company/486498,,Entreprise
cyanide,Cyanide,"Cyanide est un studio de développement de jeux vidéo qui a acquis sa notoriété grâce à des séries sportives comme Cycling Manager, Horse Racing Manager, Pro Rugby Manager, et des RPG et RTS comme Chaos League et Loki sur PC.",,,,2.22151,48.89764,5  boulevard des Bouvets,92000,Nanterre,2000,http://www.cyanide-studio.com,,CyanideStudio,https://www.facebook.com/cyanide.games,,http://www.linkedin.com/company/38647,,Entreprise
da-fact,Da Fact,Da Fact conçoit et développe une nouvelle lutherie électronique destinée au contrôle de logiciels multimédia temps réel.,,,,2.36721,48.87896,174 quai de Jemmapes,75010,Paris,2006,http://www.dafact.com,,da_fact,https://www.facebook.com/karlax.by.dafact,,,,Entreprise
dailymotion,Dailymotion,"Dailymotion propose un service d'hébergement, de partage et de visionnage de vidéos en ligne.",,,,2.30689,48.885502,140 boulevard Malesherbes,75017,Paris,2005,http://www.dailymotion.com,,Dailymotion,https://www.facebook.com/dailymotionFrance,,http://www.linkedin.com/company/24411,,Entreprise
dashlane,Dashlane,Dashlane est un service pour faciliter les achats et les réaliser rapidement sur différents supports numériques sans toucher à son clavier : gestion de mots de passe et portefeuille numérique.,,,,2.3875,48.862381,63 boulevard de Ménilmontant,75011,Paris,2009,http://www.dashlane.com,,dashlane,https://www.facebook.com/GetDashlane,https://plus.google.com/112519055969179747026/,http://www.linkedin.com/company/2049626,,Entreprise
dassault-systèmes,Dassault Systèmes,"Dassault Systèmes, ""The 3D Experience Company"", offre aux entreprises et aux particuliers les univers virtuels nécessaires à la conception d'innovations durables.",,,,2.21021,48.786091,10 rue Marcel Dassault,78140,Velizy Villacoublay,1981,http://www.3ds.com,,Dassault3DS,https://www.facebook.com/DassaultSystemes,,http://www.linkedin.com/company/3896,,Entreprise
data-publica,Data Publica,"Data Publica vous procure les données, publiques ou privées, dont vous avez besoin pour votre activité ainsi que les outils génériques ou sur mesure pour les visualiser.",,,,2.348372,48.872388,47 rue d'Enghien,75010,Paris,2011,http://www.data-publica.com,,datapublica,https://www.facebook.com/DataPublica,,http://www.linkedin.com/company/1936055,,Entreprise
dataveyes,Dataveyes,Dataveyes raconte des histoires à partir de vos données sous la forme de visualisations interactives.,,,,2.40316,48.89006,24 rue du Pré Saint-Gervais,93500,Pantin,2010,http://www.dataveyes.com,,dataveyes,https://www.facebook.com/dataveyes,,http://www.linkedin.com/company/1576301,,Prestataire
davi,Davi,"Davi développe et propose des solutions de collaborateurs virtuels et d'assistants personnels, agents intelligents autonomes, pour accomplir un travail bien réel sur supports digitaux.",,,,2.242142,48.88126,19 rue Godefroy,92800,Puteaux,2000,http://www.davi.fr,,agentvirtuel,https://www.facebook.com/agentvirtuel,,,,Entreprise
daydreamer-studio,DayDreamer Studio,"DayDreamer Studio est spécialisé dans le game marketing, la communication à travers l’événementiel, les gadgets et la réalisation d'expériences vidéoludiques.",,,,2.36479,48.80925,11 rue Carnot,94270,Kremlin Bicêtre,2013,http://www.daydreamerstudio.fr,,DDreamer_S,https://www.facebook.com/DDreamer.Studio,https://plus.google.com/110422884673786418364,,,Prestataire
ddei,DDEI,"La Direction du Développement Economique et de l'Innovation de la Région Ile-de-France est chargée de mettre en œuvre la politique régionale de développement économique et d'innovation, notamment le soutien aux acteurs de l'économie numérique.",,,,2.32389,48.8508,142 rue du Bac,75007,Paris,,http://www.iledefrance.fr,,iledefrancefr,https://www.facebook.com/RegionIledeFrance,,,,Acteur public
declicmedia,Declicmedia,"Declicmedia opère des services web et mobile de création, personnalisation et d'impression de cartes et cadeaux.",,,,2.28738,48.880211,88 avenue des Ternes,75017,Paris,2005,http://www.declicmedia.com,,declicmedia,,,http://www.linkedin.com/company/1513964,,Entreprise
dee-be,dee&be,dee&bee est une société de haute technologie qui s'est donnée pour mission de libérer l'expérience télévisuelle.,,,,2.356424,48.829127,17 avenue d'Italie,75013,Paris,,http://www.deenbe.com,,,,https://plus.google.com/100706403747132149115,,,Entreprise
deezer,Deezer,Deezer est une plateforme de diffusion musicale sur le web et le mobile.,,,,2.32842,48.878021,12 rue d'Athènes,75009,Paris,2007,http://www.deezer.com,,DeezerFrance,https://www.facebook.com/deezer,https://plus.google.com/+deezer,http://www.linkedin.com/company/167231,,Entreprise
delimedia,Delimedia,Delimedia édite Delitoon un portail qui invente une nouvelle façon de lire la bande dessinée sur Internet.,,,,2.401933,48.798187,17 avenue de l'Insurrection,94400,Vitry sur Seine,2011,http://www.delitoon.com,,delitoon,https://www.facebook.com/delitoon,,http://www.linkedin.com/company/1188080,,Entreprise
dematis,Dematis,Dematis conçoit et propose des solutions de dématérialisation de marchés publics accessibles via internet.,,,,2.3692,48.864311,30 boulevard Voltaire,75011,Paris,2003,http://www.e-marchespublics.com,,Emarchespublics,https://www.facebook.com/pages/E-Marchespublicscom-Les-march%C3%A9s-publics-et-appels-doffres/406416302799881,,http://www.linkedin.com/company/1333467,,Entreprise
deveryware,Deveryware,Deveryware est un opérateur de géolocalisation spécialisé dans la fourniture et l’exploitation des données de localisation géographique à destination d’applications géo-dépendantes.,,,,2.33486,48.87162,5 rue du Helder,75009,Paris,2003,http://www.deveryware.com,,,https://www.facebook.com/pages/Deveryware/20560583432,,http://www.linkedin.com/company/753161,,Entreprise
devolia,Devolia,"Devolia est une agence conseil en communication digitale qui accompagne les entreprises et les institutions dans la conception, la réalisation et l’exploitation de dispositifs de communication multicanaux.",,,,2.34888,48.85968,21 boulevard de Sébastopol,75001,Paris,2005,http://www.devolia.fr,,Devolia,https://www.facebook.com/devolia,https://plus.google.com/117197872192037582999/,http://www.linkedin.com/company/1515138,,Entreprise
deways,Deways,Deways est une plateforme communautaire de location de voitures entre particuliers.,,,,2.37567,48.88829,12 rue Riquet,75019,Paris,2010,http://www.deways.com,,deways_fr,https://www.facebook.com/deways.fr,,http://www.linkedin.com/company/1420186,,Entreprise
dieter-hougan,Dieter Hougan,Dieter Hougan est une agence de création de vidéos dédiée aux startups.,,,,2.3356246948242188,48.87261892829001,46 rue Richer,75009,Paris,2013,http://www.dieter-hougan.com,hugo@dieter-hougan.com,,https://www.facebook.com/DieterHougan,,,,Prestataire
digibidi,DigiBiDi,DigiBiDi opère une plateforme qui permet la location ou l'achat en ligne de bandes dessinées sous forme numérique.,,,,2.40008,48.862221,199 rue des Pyrénées,75019,Paris,2008,http://www.digibidi.com,,digiBiDi,http://www.facebook.com/pages/digiBiDi/119469926475,,http://www.linkedin.com/company/2801329,,Entreprise
digikaa,Digikaa,Digikaa est un réseau social professionnel pour les talents du web et du mobile.,,,,2.35278,48.893959,110 rue des Poissonniers,75018,Paris,2011,http://www.digikaa.com,,digikaa,https://www.facebook.com/digikaa,,http://www.linkedin.com/company/2148136,,Entreprise
digital-immersion,Digital Immersion,"Digital Immersion est une agence d’imagerie virtuelle spécialisée dans la création et la diffusion de vidéos 360°, de photos panoramiques et de visites virtuelles pour le web et le mobile.",,,,2.25769,48.83942,114 rue Michel-Ange,75016,Paris,,http://www.digitalimmersion.com,,,,,,,Prestataire
digital-mammouth,Digital Mammouth,"Digital Mammouth est une agence de développement web spécialisée dans la conception et l'implémentation d'applications sociales et e-commerce avec un focus sur les méthodologies agiles, la qualité des interfaces et la haute performance.",,,,2.3329,48.87685,62 rue Saint-Lazare,75009,Paris,2010,http://www.digitalmammouth.com,,digitalmammouth,https://www.facebook.com/digitalmammouth,,,,Prestataire
digital-non-sense,Digital Non Sense,"Digital Non Sense est un hacklab libre orienté code, hack, reverse engineering, crypto et open source.",,,,2.30514,48.889271,123 rue de Tocqueville,75017,Paris,,http://www.digitalnonsense.org,,,,,,,Tiers-lieu
digital-simulation,Digital Simulation,"Digital Simulation fournit une solution, matérielle et logicielle, de géolocalisation augmentée.",,,,2.03406,49.006569,7 rue Denis Papin,95280,Jouy le Moutier,2010,http://www.digital-simulation.com,,DPRM_SAS,https://www.facebook.com/pages/DigitM/527113623992646,,http://www.linkedin.com/company/2844000,,Entreprise
digitalkeys,Digitalkeys,Digitalkeys est une agence de communication digitale.,,,,2.35502,48.864071,78 rue Beaubourg,75003,Paris,2007,http://www.digitalkeys.fr,,,https://www.facebook.com/WLoveW,,http://www.linkedin.com/company/1345826,,Prestataire
digiworks,Digiworks,"Digiworks est une agence marketing de création interactive : advergame, socialgame, gamification.",,,,2.35122,48.869598,41 rue Beauregard,75002,Paris,2008,http://www.digiworks.fr,,DigiworksStudio,https://www.facebook.com/digiworksStudio,,http://www.linkedin.com/company/2084227,,Prestataire
diplomeo,Diplomeo,Diplomeo est un service d'orientation et de mise en relation entre les étudiants et les écoles d'enseignement supérieur.,,,,2.34042,48.87043,16 rue Saint-Marc,75002,Paris,2011,http://www.diplomeo.com,,diplomeo,https://www.facebook.com/diplomeo,,http://www.linkedin.com/company/2728356,,Entreprise
distribeo,Distribeo,Distribeo est spécialisée dans le marketing interactif et propose des applications mobiles de second écran pour la télévision.,,,,2.39198,48.865749,14 rue Soleillet,75020,Paris,2009,http://www.distribeo.com,,distribeo,https://www.facebook.com/Distribeo,,http://www.linkedin.com/company/562998,,Entreprise
dojo-buc,Dojo Buc,"Dojo Buc fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",,,,2.12404,48.763908,584 rue Fourny,78530,Buc,2013,http://www.dojocrea.fr/dojo-buc/,,Dojocrea,,,,,Tiers-lieu
dojo-république,Dojo République,"Dojo République fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",,,,2.36337,48.866661,24 rue Béranger,75003,Paris,2012,http://www.dojocrea.fr/dojo-republique/,,Dojocrea,,,,,Tiers-lieu
dojo-saint-martin,Dojo Saint Martin,"Dojo Saint Martin fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",,,,2.35726,48.868729,41 boulevard Saint Martin,75003,Paris,2012,http://www.dojocrea.fr/dojo-st-martin/,,Dojocrea,,,,,Tiers-lieu
dojo-saint-maur,Dojo Saint Maur,"Dojo Saint Maur fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",,,,2.38001,48.86422,77 avenue de la République,75011,Paris,2012,http://www.dojocrea.fr/dojo-st-maur/,,Dojocrea,,,,,Tiers-lieu
dojo-voltaire,Dojo Voltaire,"Dojo Voltaire fait partie de Dojocréa, un réseau incubateur et accélérateur d'entreprise proposant des bureaux de coworking pas chers.",,,,2.38543,48.857449,4 rue de la Vacquerie,75011,Paris,2012,http://www.dojocrea.fr/dojo-voltaire/,,Dojocrea,,,,,Tiers-lieu
dojoboost,Dojoboost,Dojoboost est un programme d'incubation et/ou d'acccélération pour startups proposé par Dojocrea.,,,,2.35726,48.868729,41 boulevard Saint Martin,75010,Paris,,http://www.dojoboost.com,,,,,,,Incubateur
dojocrea,Dojocrea,Dojocrea est incubateur privé qui propose plusieurs lieux de coworking et d'incubation/accélération pour les startups.,,,,2.36337,48.866661,24 rue Béranger,75003,Paris,,http://www.dojocrea.fr,,Dojocrea,https://www.facebook.com/DOJOCREA,,http://www.linkedin.com/company/dojocrea,,Incubateur
dontnod-entertainment,Dontnod Entertainment,Dontnod développe des jeux vidéo pour consoles HD à partir de concepts originaux et de technologies innovantes.,,,,2.369415,48.892568,140 rue d'aubervilliers,75019,Paris,,http://www.dont-nod.com,,DONTNOD_Ent,https://www.facebook.com/DONTNOD.Entertainment,,http://www.linkedin.com/company/1072046,,Entreprise
doranco-espace-multimédia,Doranco Espace Multimédia,Doranco Espace Multimedia est organisme de formation en informatique et multimédia et école supérieure des technologies créatives.,,,,2.39901,48.852482,10 rue Planchat,75020,Paris,1992,http://www.doranco.fr,,CentreDoranco,https://www.facebook.com/pages/Centre-Doranco-Espace-Multim%C3%A9dia/186910981344854,,http://www.linkedin.com/company/2057843,,École
dotemu,DotEmu,"DotEmu développe des technologies permettant d'adapter massivement et rapidement des anciens jeux vidéo et logiciels sur les plateformes modernes : Internet, PC, Mobiles.",,,,2.38001,48.84967,8 passage Brûlon,75012,Paris,2007,http://www.dotemu.com,,dotemu,https://www.facebook.com/dotemu,,http://www.linkedin.com/company/1278960,,Entreprise
dotgreen,Dotgreen,Dotgreen est une société de conseils et de services informatiques spécialisée dans le domaine du green IT et de la virtualisation.,,,,2.32173,48.873451,57 rue des Mathurins,75009,Paris,2008,http://www.dotgreen.fr,,,,,,,Entreprise
dprm,DPRM,"DPRM développe et propose DigitM , un outil pour gérer votre marketing digital et social.",,,,2.393599,48.871109,24 rue de l'Est,75020,Paris,2012,http://www.digitm.fr,,,https://www.facebook.com/pages/DigitM/527113623992646,,http://www.linkedin.com/company/dprm,,Entreprise
drivy,Drivy,Drivy (ex-Voiturelib) permet de louer des voitures entre particuliers.,,,,2.36385,48.869789,18 rue Yves Toudic,75010,Paris,2010,http://www.drivy.com,,drivy,https://www.facebook.com/pages/Drivy/373802739100,,http://www.linkedin.com/company/2009278,,Entreprise
drixe,Drixe,Drixe est une agence conseil en en communications digitales.,,,,2.44043,48.85868,51 avenue du Président Wilson,93100,Montreuil,2010,http://www.drixe.net,,drixe,https://www.facebook.com/drixe69,https://plus.google.com/115916426717344588499,http://www.linkedin.com/in/drixe,,Prestataire
dui,DUI,"Liée à 2 ministères, la Délégation aux Usages de l'Internet est chargée de diffuser les technologies de l’Internet auprès de l’ensemble des citoyens et d’accompagner les entreprises de l’Internet face aux mutations du réseau.",,,,2.34855,48.847229,1 rue Descartes,75005,Paris,2007,http://www.delegation.internet.gouv.fr,,netpublic,https://www.facebook.com/NetPublic,https://plus.google.com/101400531434532387710,,,Acteur public
décideurs-tv,Décideurs TV,Décideurs TV est une Web TV pour les professionnels où les décideurs parlent aux décideurs.,,,,2.34412,48.869671,33 rue des Jeuneurs,75002,Paris,2007,http://www.decideurstv.com,,DECIDEURSTV,https://www.facebook.com/Decideurstv,,http://www.linkedin.com/company/1224936,,Entreprise
e-artsup,E-artsup,"E-artsup, école supérieure de la création numérique et du multimédia, vise à travers ses différentes filières à former des managers créatifs et passionnés.",,,,2.36309,48.815399,24 rue Pasteur,94270,Kremlin Bicêtre,2001,http://www.e-artsup.net,,Eartsup,https://www.facebook.com/eartsup,https://plus.google.com/117993560968128170083,http://www.linkedin.com/company/1975399,,École
e-loue,E-loue,"E-loue est une plateforme communautaire de location de tout type de bien (voiture, appartement, bricolage, jardinage, costume, etc.) entre particuliers.",,,,2.36316,48.86132,11 rue Debelleyme,75003,Paris,2009,http://www.e-loue.com,,eloue,https://www.facebook.com/location.eloue,,http://www.linkedin.com/company/1162469,,Entreprise
e-pli,e-PLI,e-PLI permet d'envoyer et recevoir des fichiers volumineux et des communications entre un téléphone mobile et un point d'accès Internet.,,,,2.51851,48.87672,6 rue Nicolas Becker,93250,Villemomble,2004,http://www.e-pli.net,,,,,,,Entreprise
ebay,Ebay,eBay constitue la plus grande communauté d'achat et de vente de biens et de services en ligne.,,,,2.34116,48.86834,21 rue de la Banque,75002,Paris,1995,http://www.ebay.fr,,eBay,https://www.facebook.com/eBayFrance,https://plus.google.com/+eBay,http://www.linkedin.com/company/1481,,Entreprise
ece-paris,ECE Paris,ECE Paris est une école d'ingénieurs généraliste et hightech parce que les technologies numériques sont au cœur de la formation des élèves.,,,,2.28582,48.852058,37 quai de Grenelle,75015,Paris,1919,http://www.ece.fr,,ingenieursECE,https://www.facebook.com/ECE.Paris,,,,École
ecitv,ECITV,L'Ecole d'Internet et de Télévision (ECITV) a pour vocation de former des managers maîtrisant les aspects techniques d'Internet et de la Télévision.,,,,2.38571,48.846069,21 rue Erard,75012,Paris,2012,http://www.ecitv.fr,,,https://www.facebook.com/ECITV,,,,École
ecole-multimedia,Ecole Multimedia,"L'Ecole Multimedia forme aux métiers de l'Internet, de la communication interactive, du design interactif et de l'informatique multimédia.",,,,2.35262,48.86343,201 rue Saint Martin,75003,Paris,1998,http://www.ecole-multimedia.com,,ecolemultimedia,https://www.facebook.com/lecolemultimedia,https://plus.google.com/112539182774503460113,,,École
